EQMODEL_ID,EQMODEL_CODE,MODEL_DESC,MAX_DAYS_SINCE_LAST_BADGE_IN,ACTIVE,SCHEDULED_PRIORITY,FUELING_DURATION,EQUIPMENT_LENGTH,EQUIPMENT_WIDTH
8B204088-2BC1-480D-A25D-985465911C1A,EH-AC2,Hitachi Dump Truck EH-ACII,9999,N,45,NULL,0,0
715BD939-7405-41F5-B6E2-07F992DE079F,EH3500-CMS,Hitachi EH3500 AC3 CUMMINS ENGINE,NULL,Y,0,NULL,13.5,9
BAAA39BA-129F-4904-AFE3-FD516D4A58C6,EH3500-MTU,Hitachi EH3500 AC3 MTU ENGINE,NULL,Y,0,NULL,13.5,9
5C998ECF-7706-4DFB-9090-0558C6D4D5E2,EH4000-CMS,Hitachi EH4000 AC3 CUMMINS ENGINE,NULL,Y,0,NULL,14.3,9.5
9063CAB7-A408-48B6-B84D-9A9DFE27E711,EH4000-MTU,Hitachi EH4000 AC3 MTU ENGINE,NULL,Y,0,NULL,14.3,9.5
5F03C647-57F5-4077-8786-6479C0405316,EH5000-CMS,Hitachi EH5000 AC3 CUMMINS ENGINE,NULL,Y,0,NULL,15.5,9.6
463931F0-1196-44C6-9435-E071CC3DE173,EH5000-MTU,Hitachi EH5000 AC3 MTU ENGINE,NULL,Y,0,NULL,15.5,9.6
FBF1BE01-8C7C-4B4F-BD1F-B3B8FBA05B1C,EX1200-5D,Hitachi EX1200-5D,NULL,Y,0,NULL,8,5.4
46BF8D0D-65A1-41DC-95E8-1266F1DE6D17,EX1200-6,Hitachi EX1200-6,NULL,Y,0,NULL,8.1,5.4
07B85FE4-5D91-48FF-95F5-68953282AB6F,EX1900-6,Hitachi EX1900-6 Gas Engine Drive,NULL,Y,9999,NULL,9.8,6.7
664B1437-E3C8-4AFE-AC59-20CBB46A66FE,EX1900E-6,Hitachi EX1900-6 Electric Motor Drive,NULL,Y,0,NULL,9.8,6.7
139EF736-D08D-4F36-B762-89CE9593456B,EX2500-6,Hitachi EX2500-6 Gas Engine Drive,NULL,Y,0,NULL,10.2,8
E5D6EDB2-17FC-49F1-9044-53E1169D249A,EX2500E-6,Hitachi EX2500-6 Electric Motor Drive,NULL,Y,0,NULL,10.2,8
4E147BFD-AA7B-490B-8CA3-B2487EEC2B65,EX2600-6,Hitachi EX2600-6 Gas Engine Drive,NULL,Y,9999,NULL,10.2,8
3A5317B8-500D-4A3A-99BE-B71EA276D6DD,EX2600E-6,Hitachi EX2600-6 Electric Motor Drive,NULL,Y,0,NULL,10.2,8
34DC6F48-CBAB-435A-B351-8CDD8126E7A8,EX3600,HITACHI EX3600,9999,N,1,NULL,11.3,9.4
8EA259F1-8B2F-4206-8CF0-103D327CC67F,EX3600-6,Hitachi EX3600-6 Gas Engine Drive,NULL,Y,1,NULL,11.3,9.4
E46E8AE0-6880-4335-8144-E1CE964FF1F2,EX3600E-6,Hitachi EX3600-6 Electric Motor Drive,NULL,Y,0,NULL,11.3,9.4
8833B096-ACA0-480E-A70D-65A033743C04,EX5600-6,Hitachi EX5600-6 Gas Engine Drive,NULL,Y,1,NULL,12.6,10.1
3CBEF959-C929-4BD4-ADC9-32B41FAD5117,EX5600E-6,Hitachi EX5600-6 Electric Motor Drive,NULL,Y,0,NULL,12.6,10.1
48A479AC-011C-4721-8D9B-EC2354902AA4,EX8000-6,Hitachi EX8000-6 Gas Engine Drive,NULL,Y,1,NULL,13.3,10.7
88225224-6E8B-49E2-A416-69CC6FBEF904,EX8000E-6,Hitachi EX8000-6 Electric Motor Drive,NULL,Y,0,NULL,13.3,10.7
